@lat,@lon
43.5944716,-79.6479241
43.6487095,-79.3727108
43.6461941,-79.3800608
43.8533865,-79.2540397
43.8739833,-79.2607546
33.8580479,-118.1157316
43.7691253,-79.3866003
43.6470364,-79.3781441
45.4956457,-73.5796279
42.4749260,-71.4517050
43.7051764,-79.3747198
40.4445757,-79.9485513
43.7076137,-79.3983360
37.7622445,-121.4333797
40.4590389,-79.9276292
36.9870082,-121.9645231
40.0016405,-105.1016642
43.6523258,-79.3782736
43.6565629,-79.3804948
45.9612118,-66.6425374
43.7798780,-79.4163398
49.2781190,-122.9122848
40.8551469,-73.1910090
43.5702321,-79.6027179
43.6396349,-79.5374684
41.9250835,-87.6603561
33.6483909,-117.8420138
43.7225487,-79.4152930
47.6726525,-122.1106600
47.7024308,-122.0935990
43.6400113,-79.3809763
40.2770334,-76.8241383
34.2060210,-118.2175910
38.7672954,-104.8147410
42.4879899,-83.1444354
43.6162266,-79.5257034
34.1762393,-119.2157932
37.3908308,-122.0947122
37.7183271,-121.7246402
37.4235132,-122.1976890
43.7722704,-79.3212145
37.3444048,-121.9326560
34.0327921,-118.4942260
34.0270545,-118.5017880
34.1017216,-118.3373325
38.9548229,-119.9446520
47.5788477,-122.4111600
34.2331196,-119.1778240
43.2561524,-79.8854962
42.7269142,-73.7949162
32.7363135,-117.2171051
32.7279645,-117.2177045
34.4114691,-119.8481700
33.0684887,-117.2652757
37.4700883,-122.4349377
39.0217043,-76.9765798
45.4440717,-73.4405205
34.2630965,-119.2695040
45.4444928,-73.4364618
36.9764923,-121.9003062
43.7682873,-79.4128946
34.0347570,-117.0716300
47.6397122,-122.3998080
45.5140664,-73.5726410
37.3732006,-121.8730130
39.2493997,-119.9529560
38.9929401,-77.0320280
38.0642169,-78.9360593
33.6807618,-117.9063270
33.6816436,-117.9189770
40.8929885,-74.4783600
38.5080678,-90.4428286
43.9029368,-80.1198252
43.6645938,-79.3998389
35.3666608,-80.7094175
33.6898201,-117.8776140
34.0406343,-118.2696008
33.8469727,-117.9895411
47.6175489,-122.1933228
30.2026745,-97.8788240
49.2052562,-124.0050419
49.3721579,-123.0988070
43.8439591,-79.4082985
43.7837722,-79.2532651
19.3926097,-99.1731144
19.4351024,-99.0834686
38.9881328,-77.0962282
40.6578447,-111.5069840
32.8203281,-116.9620580
32.8707524,-117.2104050
48.4153357,-123.3564368
30.4019908,-97.7263957
34.1218940,-117.5749619
49.2794898,-122.9670470
37.4316574,-122.2018243
37.3883501,-122.0303547
38.9295977,-77.0553144
36.9758583,-121.9663140
37.3981046,-121.9236899
43.7359450,-79.3441736
45.5256947,-73.5816147
35.9476574,-86.8216783
49.2733859,-123.1200283
43.4628061,-80.5219562
43.4763245,-80.5252550
35.8926987,-86.8810713
37.2748023,-121.8931759
37.2928602,-121.9132130
47.2229147,-122.4711830
37.2856480,-121.9822290
37.1557205,-121.6508985
38.9847452,-77.0922319
39.0382746,-77.0569948
38.9955381,-77.0775234
34.2552367,-88.7448527
43.7298203,-79.4036331
49.2812107,-123.0121610
34.1556488,-118.3469910
34.1345297,-117.5373370
34.8291285,-82.3044848
29.6055389,-98.4675192
29.8761934,-95.6457840
43.7110300,-79.3990700
43.7155303,-79.4005080
39.1000664,-84.5129052
36.6583339,-121.6603222
37.4157646,-122.0776812
49.4730478,-119.5837780
51.1281784,-114.2006016
51.1567712,-114.1602962
34.0049007,-84.3898708
40.7974202,-77.8560720
43.7007507,-79.4274802
33.7566098,-84.3886713
40.4870148,-74.4156564
43.7069088,-79.3969125
43.6883923,-79.3940026
42.5482967,-83.1674163
34.0360394,-118.4777237
47.5417388,-122.2258800
42.2557205,-83.6881157
33.7754442,-84.2958139
43.7287112,-79.4184049
28.0599490,-82.4181562
39.0242855,-77.1239589
44.2442534,-88.3572681
39.0559647,-77.1181038
33.5708354,-117.2331929
40.4066674,-104.9814134
37.4522132,-122.1838620
40.7032771,-74.0141339
37.3709053,-121.9172140
32.6652493,-97.4008917
35.9134017,-79.0556009
39.0345144,-77.3981509
39.9999497,-105.2630757
34.0057376,-118.1525356
32.7159749,-117.1688263
38.9626470,-77.0870488
37.4850094,-122.2311140
39.5439709,-104.9422035
38.9149962,-77.0675677
38.8537314,-77.0491962
49.8791106,-97.1472032
38.8901660,-77.0860020
40.3507262,-74.0655965
37.2355162,-80.4334693
32.8595300,-97.2905500
32.8605979,-97.3159732
39.1509975,-77.0642082
49.2846042,-123.1245930
39.1320444,-77.0715164
34.9005649,-82.3373973
37.5348956,-121.9982626
38.9575495,-77.4008909
42.3886680,-71.1424420
38.9216092,-77.2362427
35.2505000,-120.6423150
37.5991872,-122.0691829
38.9104320,-77.0436180
35.2491710,-120.6430330
37.7116372,-122.1626807
38.8338190,-77.3072088
